name,series_id
  Wilshire US Mid-Cap Value Total Market Index,WILLMIDCAPVAL
  Wilshire 2500 Value Price Index,WILL2500PRVAL
  Wilshire 2500 Total Market Index,WILL2500IND
  Wilshire US Mid-Cap Price Index,WILLMIDCAPPR
  Wilshire US Large-Cap Price Index,WILLLRGCAPPR
  Wilshire US Micro-Cap Price Index,WILLMICROCAPPR
  Wilshire US Small-Cap Growth Price Index,WILLSMLCAPGRPR
  Wilshire 4500 Total Market Index,WILL4500IND
  Wilshire US Real Estate Securities Total Market Index (Wilshire US RESI),WILLRESIND
  Wilshire US Small-Cap Price Index,WILLSMLCAPPR
  Wilshire US Large-Cap Value Price Index,WILLLRGCAPVALPR
  Wilshire US Mid-Cap Total Market Index,WILLMIDCAP
  Wilshire US Small-Cap Growth Total Market Index,WILLSMLCAPGR
  Wilshire US Small-Cap Value Price Index,WILLSMLCAPVALPR
  Wilshire US Micro-Cap Total Market Index,WILLMICROCAP
  Wilshire US Small-Cap Value Total Market Index,WILLSMLCAPVAL
  Wilshire US Real Estate Investment Trust Price Index (Wilshire US REIT),WILLREITPR
  Dow Jones Utility Average,DJUA
  Wilshire US Real Estate Securities Price Index (Wilshire US RESI),WILLRESIPR
  Wilshire US Large-Cap Value Total Market Index,WILLLRGCAPVAL
  Dow Jones Composite Average,DJCA
  Wilshire US Small-Cap Total Market Index,WILLSMLCAP
  Wilshire US Large-Cap Total Market Index,WILLLRGCAP
  Wilshire US Large-Cap Growth Total Market Index,WILLLRGCAPGR
  Dow Jones Transportation Average,DJTA
  Wilshire US Real Estate Investment Trust Total Market Index (Wilshire US REIT),WILLREITIND
  Wilshire 5000 Total Market Index,WILL5000IND
  Wilshire 5000 Price Index,WILL5000PR
  NASDAQ 100 Index,NASDAQ100
  Wilshire 5000 Full Cap Price Index,WILL5000PRFC
  Wilshire 5000 Total Market Full Cap Index,WILL5000INDFC
  Dow Jones Industrial Average,DJIA
"  CredAbility Consumer Distress Index for Portland-Vancouver-Hillsboro, OR-WA (MSA) (DISCONTINUED)",CCDIOA38900Q156N
  CredAbility Consumer Distress Index for Kansas (DISCONTINUED),CCDIOAKSQ156N
  NASDAQ Composite Index,NASDAQCOM
"  CredAbility Consumer Distress Index for Las Vegas-Paradise, NV (MSA) (DISCONTINUED)",CCDIOA29820Q156N
"  CredAbility Consumer Distress Index for Oklahoma City, OK (MSA) (DISCONTINUED)",CCDIOA36420Q156N
  CredAbility Consumer Distress Index for Oregon (DISCONTINUED),CCDIOAORQ156N
  CredAbility Consumer Distress Index for Alaska (DISCONTINUED),CCDIOAAKQ156N
"  CredAbility Consumer Distress Index for Austin-Round Rock-San Marcos, TX (MSA) (DISCONTINUED)",CCDIOA12420Q156N
  CredAbility Consumer Distress Index for Hawaii (DISCONTINUED),CCDIOAHIQ156N
"  CredAbility Consumer Distress Index for Kansas City, MO-KS (MSA) (DISCONTINUED)",CCDIOA28140Q156N
"  CredAbility Consumer Distress Index for Tucson, AZ (MSA) (DISCONTINUED)",CCDIOA46060Q156N
  CredAbility Consumer Distress Index for Maine (DISCONTINUED),CCDIOAMEQ156N
"  CredAbility Consumer Distress Index for Sacramento--Arden-Arcade--Roseville, CA (MSA) (DISCONTINUED)",CCDIOA40900Q156N
"  CredAbility Consumer Distress Index for Memphis, TN-MS-AR (MSA) (DISCONTINUED)",CCDIOA32820Q156N
"  CredAbility Consumer Distress Index for Orlando-Kissimmee-Sanford, FL (MSA) (DISCONTINUED)",CCDIOA36740Q156N
"  CredAbility Consumer Distress Index for Pittsburgh, PA (MSA) (DISCONTINUED)",CCDIOA38300Q156N
"  CredAbility Consumer Distress Index for Miami-Fort Lauderdale-Pompano Beach, FL (MSA) (DISCONTINUED)",CCDIOA33100Q156N
  CredAbility Consumer Distress Index for California (DISCONTINUED),CCDIOACAQ156N
  CredAbility Consumer Distress Index for Virginia (DISCONTINUED),CCDIOAVAQ156N
"  CredAbility Consumer Distress Index for Louisville/Jefferson County, KY-IN (MSA) (DISCONTINUED)",CCDIOA31140Q156N
"  CredAbility Consumer Distress Index for Baton Rouge, LA (MSA) (DISCONTINUED)",CCDIOA12940Q156N
"  CredAbility Consumer Distress Index for Providence-New Bedford-Fall River, RI-MA (MSA) (DISCONTINUED)",CCDIOA39300Q156N
"  CredAbility Consumer Distress Index for Jacksonville, FL (MSA) (DISCONTINUED)",CCDIOA27260Q156N
"  CredAbility Consumer Distress Index for Greenville-Mauldin-Easley, SC (MSA) (DISCONTINUED)",CCDIOA24860Q156N
  CredAbility Consumer Distress Index for Pennsylvania (DISCONTINUED),CCDIOAPAQ156N
"  CredAbility Consumer Distress Index for Phoenix-Mesa-Glendale, AZ (MSA) (DISCONTINUED)",CCDIOA38060Q156N
"  CredAbility Consumer Distress Index for Charlotte-Gastonia-Rock Hill, NC-SC (MSA) (DISCONTINUED)",CCDIOA16740Q156N
"  CredAbility Consumer Distress Index for Nashville-Davidson--Murfreesboro--Franklin, TN (MSA) (DISCONTINUED)",CCDIOA34980Q156N
"  CredAbility Consumer Distress Index for Tampa-St. Petersburg-Clearwater, FL (MSA) (DISCONTINUED)",CCDIOA45300Q156N
"  CredAbility Consumer Distress Index for Chicago-Joliet-Naperville, IL Metropolitan Division (DISCONTINUED)",CCDIOA16980Q156N
  CredAbility Consumer Distress Index for Nevada (DISCONTINUED),CCDIOANVQ156N
"  CredAbility Consumer Distress Index for Bakersfield-Delano, CA (MSA) (DISCONTINUED)",CCDIOA12540Q156N
"  CredAbility Consumer Distress Index for Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division (DISCONTINUED)",CCDIOA47900Q156N
"  CredAbility Consumer Distress Index for San Jose-Sunnyvale-Santa Clara, CA (MSA) (DISCONTINUED)",CCDIOA41940Q156N
"  CredAbility Consumer Distress Index for Little Rock-North Little Rock-Conway, AR (MSA) (DISCONTINUED)",CCDIOA30780Q156N
"  CredAbility Consumer Distress Index for Dallas-Fort Worth-Arlington, TX (MSA) (DISCONTINUED)",CCDIOA19100Q156N
