name,series_id
"  AD&Co US Mortgage High Yield Index, Credit-and-Option-Adjusted Spread: Mid-Tier",CROASMIDTIER
  AD&Co US Mortgage High Yield Index: Tier 3,CRTINDEXTIER3
  AD&Co US Mortgage High Yield Index: Tier 0,CRTINDEXTIER0
  AD&Co US Mortgage High Yield Index: Mid-Tier,CRTINDEXMIDTIER
  AD&Co US Mortgage High Yield Index: Tier 1,CRTINDEXTIER1
"  AD&Co US Mortgage High Yield Index, Credit-and-Option-Adjusted Spread: Tier 3",CROASTIER3
"  AD&Co US Mortgage High Yield Index, Credit-and-Option-Adjusted Spread: Tier 2",CROASTIER2
  AD&Co US Mortgage High Yield Index: Tier 2,CRTINDEXTIER2
"  AD&Co US Mortgage High Yield Index, Credit-and-Option-Adjusted Spread: Tier 1",CROASTIER1
"  AD&Co US Mortgage High Yield Index, Credit-and-Option-Adjusted Spread: Tier 0",CROASTIER0
